date,cash,stock_value,equity,drawdown,stock_weight,positions,risk_off_remaining_days
2026-05-15,184400.33748655347,11121326.0,11305726.337486554,-0.02278641343808352,0.9836896514224712,2,0
2026-05-18,184400.33748655347,11307088.0,11491488.337486554,-0.006730023530164386,0.9839533111751052,2,0
2026-05-19,184400.33748655347,11535316.0,11719716.337486554,0.0,0.984265801989018,2,0
2026-05-20,184400.33748655347,11563625.0,11748025.337486554,0.0,0.9843037163957968,2,0
2026-05-21,184400.33748655347,11031319.0,11215719.337486554,-0.04531025297515101,0.9835587596356634,2,0
2026-05-22,184400.33748655347,11291677.0,11476077.337486554,-0.023148400874847153,0.9839317623902541,2,0
2026-05-25,184400.33748655347,11899993.0,12084393.337486554,0.0,0.9847406210360158,2,0
2026-05-26,184400.33748655347,12142358.0,12326758.337486554,0.0,0.9850406463371818,2,0
2026-05-27,184400.33748655347,11746259.0,11930659.337486554,-0.032133265628761065,0.9845439944037995,2,0
2026-05-28,184400.33748655347,12332523.0,12516923.337486554,0.0,0.9852679182803414,2,0
2026-05-29,184400.33748655347,11583166.0,11767566.337486554,-0.05986750735748081,0.9843297813500204,2,0
2026-06-01,266252.44003495574,11049554.0,11315806.440034956,-0.09595943548319175,0.9764707498801886,2,0
