date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2026-02-24,5584012.664025625,1256841.71676,4327170.947265625,250.12548828125,0.0,0.09534929439443705,5584012.664025625,0.0,0.09534929439443696,2026-02
2026-02-25,5466898.717492422,1256841.71676,4210057.000732422,243.35589599609375,0.02097308039569763,-0.02097308039569763,5584012.664025625,0.02097308039569763,-0.020973080395697674,2026-02
2026-02-26,5719741.7442258205,1256841.71676,4462900.02746582,257.9710998535156,0.0,0.046249809956123246,5719741.7442258205,0.0,0.04624980995612327,2026-02
2026-02-27,5802090.969079336,1256841.71676,4545249.252319336,262.7311706542969,0.0,0.014397367667281238,5802090.969079336,0.0,0.01439736766728128,2026-02
2026-03-02,5571561.658471426,1256841.71676,4314719.941711426,249.40577697753906,0.03973210896493236,-0.03973210896493236,5802090.969079336,0.03973210896493236,-0.0397321089649324,2026-03
2026-03-03,5381221.006005606,1256841.71676,4124379.2892456055,238.40342712402344,0.07253763605511225,-0.03416289078958893,5802090.969079336,0.07253763605511225,-0.034162890789588896,2026-03
2026-03-04,5393548.470300039,1256841.71676,4136706.753540039,239.11599731445312,0.07041297714160513,0.002290830330268125,5802090.969079336,0.07041297714160513,0.002290830330268223,2026-03
2026-03-05,5384179.396813711,1256841.71676,4127337.680053711,238.57443237304688,0.07202775249350121,-0.0017370889569120586,5802090.969079336,0.07202775249350121,-0.0017370889569120473,2026-03
2026-03-06,5237232.347863516,1256841.71676,3980390.6311035156,230.08038330078125,0.09735432005910981,-0.027292376074459314,5802090.969079336,0.09735432005910981,-0.027292376074459335,2026-03
2026-03-09,5040974.385827383,1256841.71676,3784132.669067383,218.73599243164062,0.1311797052662767,-0.03747360227701079,5802090.969079336,0.1311797052662767,-0.0374736022770108,2026-03
2026-03-10,5454201.157372793,1256841.71676,4197359.440612793,242.62193298339844,0.059959385945605986,0.08197359080164947,5802090.969079336,0.059959385945605986,0.08197359080164945,2026-03
2026-03-11,5337334.0293820705,1256841.71676,4080492.3126220703,235.86660766601562,0.08010162925298159,-0.02142699262801224,5802090.969079336,0.08010162925298159,-0.021426992628012287,2026-03
2026-03-12,5374810.323327383,1256841.71676,4117968.606567383,238.03286743164062,0.07364252784539728,0.007021538044837587,5802090.969079336,0.07364252784539728,0.007021538044837516,2026-03
2026-03-13,5263367.131799063,1256841.71676,4006525.4150390625,231.591064453125,0.09284994670908392,-0.020734348716389527,5802090.969079336,0.09284994670908392,-0.020734348716389572,2026-03
2026-03-16,5092874.121850332,1256841.71676,3836032.405090332,221.73597717285156,0.1222346996985366,-0.032392384129673005,5802090.969079336,0.1222346996985366,-0.032392384129673046,2026-03
2026-03-17,4708617.51174291,1256841.71676,3451775.79498291,199.5246124267578,0.18846196365479184,-0.07544985423040744,5802090.969079336,0.18846196365479184,-0.0754498542304074,2026-03
2026-03-18,4995854.636376699,1256841.71676,3739012.919616699,216.12791442871094,0.138956168905185,0.06100243307455808,5802090.969079336,0.138956168905185,0.06100243307455799,2026-03
2026-03-19,5053671.945947012,1256841.71676,3796830.2291870117,219.46995544433594,0.12899125972357545,0.011573056819812749,5802090.969079336,0.12899125972357545,0.011573056819812688,2026-03
2026-03-20,5103106.400292715,1256841.71676,3846264.683532715,222.3274383544922,0.12047114954103082,0.009781888273406626,5802090.969079336,0.12047114954103082,0.009781888273406647,2026-03
2026-03-23,4936557.999413809,1256841.71676,3679716.2826538086,212.7003631591797,0.14917604261604128,-0.03263667025820841,5802090.969079336,0.14917604261604128,-0.03263667025820838,2026-03
2026-03-24,4939270.363610586,1256841.71676,3682428.646850586,212.85714721679688,0.14870856214887312,0.0005494444098700802,5802090.969079336,0.14870856214887312,0.0005494444098701479,2026-03
2026-03-25,5178305.54274877,1256841.71676,3921463.8259887695,226.67420959472656,0.10751045263765442,0.048394835986149555,5802090.969079336,0.10751045263765442,0.048394835986149465,2026-03
2026-03-26,5263367.131799063,1256841.71676,4006525.4150390625,231.591064453125,0.09284994670908392,0.01642652955645028,5802090.969079336,0.09284994670908392,0.016426529556450298,2026-03
2026-03-27,5172141.942590078,1256841.71676,3915300.225830078,226.31793212890625,0.10857275934596676,-0.017332096911469454,5802090.969079336,0.10857275934596676,-0.01733209691146942,2026-03
2026-03-30,5162403.037255606,1256841.71676,3905561.3204956055,225.75498962402344,0.11025127583017452,-0.001882953995186694,5802090.969079336,0.11025127583017452,-0.0018829539951866758,2026-03
2026-03-31,4974897.498315176,1256841.71676,3718055.781555176,214.91651916503906,0.14256816640284728,-0.036321367701679846,5802090.969079336,0.14256816640284728,-0.03632136770167982,2026-03
2026-04-01,5366057.372277578,1256841.71676,4109215.655517578,237.52691650390625,0.07515111347365633,0.0786267202680808,5802090.969079336,0.07515111347365633,0.07862672026808082,2026-04
2026-04-02,5236246.129601797,1256841.71676,3979404.412841797,230.02337646484375,0.09752429641194098,-0.024191176811940038,5802090.969079336,0.09752429641194098,-0.02419117681194005,2026-04
2026-04-03,5372591.332238516,1256841.71676,4115749.6154785156,237.90460205078125,0.07402497463926741,0.026038730659723102,5802090.969079336,0.07402497463926741,0.026038730659723175,2026-04
2026-04-07,5169183.023827871,1256841.71676,3912341.307067871,226.1468963623047,0.10908273390134271,-0.037860372366325785,5802090.969079336,0.10908273390134271,-0.03786037236632578,2026-04
2026-04-08,5411300.399010977,1256841.71676,4154458.6822509766,240.14212036132812,0.06735340279064415,0.04683861532219714,5802090.969079336,0.06735340279064415,0.04683861532219713,2026-04
2026-04-09,5533345.700829824,1256841.71676,4276503.984069824,247.19676208496094,0.04631869263714003,0.02255378426988712,5802090.969079336,0.04631869263714003,0.02255378426988708,2026-04
2026-04-10,5681278.704064688,1256841.71676,4424436.9873046875,255.747802734375,0.02082219421558271,0.026734820347963813,5802090.969079336,0.02082219421558271,0.026734820347963817,2026-04
2026-04-13,5583889.12276586,1256841.71676,4327047.406005859,250.11834716796875,0.03760745005142523,-0.017142193927073224,5802090.969079336,0.03760745005142523,-0.01714219392707328,2026-04
2026-04-14,5520278.044885,1256841.71676,4263436.328125,246.44140625,0.04857092480903543,-0.011391894875117254,5802090.969079336,0.04857092480903543,-0.01139189487511727,2026-04
2026-04-15,5333142.601769766,1256841.71676,4076300.8850097656,235.62432861328125,0.08082402875251404,-0.0338996408502704,5802090.969079336,0.08082402875251404,-0.03389964085027042,2026-04
2026-04-16,5640227.368920645,1256841.71676,4383385.6521606445,253.37489318847656,0.027897459902179986,0.05758045304263475,5802090.969079336,0.027897459902179986,0.057580453042634705,2026-04
2026-04-17,5932518.334191641,1256841.71676,4675676.617431641,270.27032470703125,0.0,0.05182255007690072,5932518.334191641,0.0,0.05182255007690073,2026-04
2026-04-20,5873591.7930539455,1256841.71676,4616750.076293945,266.8641662597656,0.009932803881629232,-0.009932803881629232,5932518.334191641,0.009932803881629232,-0.009932803881629204,2026-04
2026-04-21,5608544.843285879,1256841.71676,4351703.126525879,251.5435333251953,0.05460977491440084,-0.04512519070213705,5932518.334191641,0.05460977491440084,-0.04512519070213705,2026-04
2026-04-22,5884810.289758047,1256841.71676,4627968.572998047,267.51263427734375,0.00804178626109453,0.049257954459059346,5932518.334191641,0.00804178626109453,0.04925795445905945,2026-04
2026-04-23,5572671.15401586,1256841.71676,4315829.437255859,249.46990966796875,0.06065673292602031,-0.05304149503093345,5932518.334191641,0.06065673292602031,-0.05304149503093347,2026-04
2026-04-24,5249436.798852285,1256841.71676,3992595.082092285,230.7858428955078,0.11514191728704223,-0.05800348634077221,5932518.334191641,0.11514191728704223,-0.05800348634077224,2026-04
2026-04-27,5229465.879052481,1256841.71676,3972624.1622924805,229.63145446777344,0.11850826504608812,-0.0038043928453755354,5932518.334191641,0.11850826504608812,-0.0038043928453754816,2026-04
2026-04-28,5075985.398095449,1256841.71676,3819143.681335449,220.75975036621094,0.14437931546871516,-0.029349169591453603,5932518.334191641,0.14437931546871516,-0.029349169591453617,2026-04
2026-04-29,5091887.9035886135,1256841.71676,3835046.1868286133,221.67897033691406,0.14169874971276777,0.003132890315076716,5932518.334191641,0.14169874971276777,0.0031328903150766862,2026-04
2026-04-30,5047631.095116934,1256841.71676,3790789.3783569336,219.1207733154297,0.1491587870828352,-0.008691630552292556,5932518.334191641,0.1491587870828352,-0.008691630552292606,2026-04
2026-05-06,5154389.74990209,1256841.71676,3897548.03314209,225.2917938232422,0.13116328352579426,0.021150249052161185,5932518.334191641,0.13116328352579426,0.02115024905216112,2026-05
2026-05-07,5302076.462548574,1256841.71676,4045234.745788574,233.82859802246094,0.10626884505515309,0.02865260871071881,5932518.334191641,0.10626884505515309,0.02865260871071884,2026-05
2026-05-08,5279393.442529043,1256841.71676,4022551.725769043,232.51744079589844,0.11009235115184719,-0.004278138985688655,5932518.334191641,0.11009235115184719,-0.004278138985688629,2026-05
2026-05-11,5348675.275414785,1256841.71676,4091833.558654785,236.5221710205078,0.09841403361737935,0.013123066814386424,5932518.334191641,0.09841403361737935,0.013123066814386464,2026-05
2026-05-12,5478487.046044668,1256841.71676,4221645.329284668,244.02574157714844,0.07653263969370244,0.024269891878941185,5932518.334191641,0.07653263969370244,0.02426989187894124,2026-05
2026-05-13,5919081.374352774,1256841.71676,4662239.657592773,269.4936218261719,0.0022649672671762747,0.08042262847480923,5932518.334191641,0.0022649672671762747,0.0804226284748093,2026-05
2026-05-14,6089328.093713125,1256841.71676,4832486.376953125,279.33447265625,0.0,0.028762354931970727,6089328.093713125,0.0,0.028762354931970657,2026-05
2026-05-15,6187826.906579336,1256841.71676,4930985.189819336,285.0280456542969,0.0,0.016175645547479234,6187826.906579336,0.0,0.0161756455474793,2026-05
2026-05-18,6002417.34542211,1256841.71676,4745575.628662109,274.31072998046875,0.029963598522784466,-0.029963598522784466,6187826.906579336,0.029963598522784466,-0.029963598522784518,2026-05
2026-05-19,5731822.389977774,1256841.71676,4474980.673217773,258.6694030761719,0.07369380615942993,-0.04508099651729679,6187826.906579336,0.07369380615942993,-0.0450809965172968,2026-05
2026-05-20,5682387.9356320705,1256841.71676,4425546.21887207,255.81192016601562,0.08168279083725614,-0.008624561436540747,6187826.906579336,0.08168279083725614,-0.008624561436540779,2026-05
2026-05-21,5413889.485925039,1256841.71676,4157047.769165039,240.29177856445312,0.12507418716438104,-0.047250988976549925,6187826.906579336,0.12507418716438104,-0.04725098897654989,2026-05
