date,nav,cash,position_value,close,peak,drawdown,daily_return,month
2025-11-07,3725308.199341406,1180060.3844,2545247.8149414062,489.4707336425781,3884603.743775,-0.04100689669798668,-0.009432663372275107,2025-11
2025-11-10,3725048.580200781,1180060.3844,2544988.1958007812,489.4208068847656,3884603.743775,-0.041073729548323355,-6.969064752038179e-05,2025-11
2025-11-11,3611043.404419531,1180060.3844,2430983.0200195312,467.4967346191406,3884603.743775,-0.07042168452672778,-0.0306050171767438,2025-11
2025-11-12,3734137.789185156,1180060.3844,2554077.4047851562,491.1687316894531,3884603.743775,-0.03873392616453157,0.03408831492165687,2025-11
2025-11-13,3678303.9635015624,1180060.3844,2498243.5791015625,480.43145751953125,3884603.743775,-0.05310703327309221,-0.01495226711914599,2025-11
2025-11-14,3583879.7203375,1180060.3844,2403819.3359375,462.27294921875,3884603.743775,-0.07741433702714318,-0.025670592778900048,2025-11
2025-11-17,3689730.3795171874,1180060.3844,2509669.9951171875,482.62884521484375,3884603.743775,-0.05016557083076831,0.02953521530843095,2025-11
2025-11-18,3636285.6529546874,1180060.3844,2456225.2685546875,472.35101318359375,3884603.743775,-0.0639236604810046,-0.014484724103199453,2025-11
2025-11-19,3717777.181275,1180060.3844,2537716.796875,488.0224609375,3884603.743775,-0.042945580425631895,0.022410650894298056,2025-11
2025-11-20,3735436.3609625,1180060.3844,2555375.9765625,491.41845703125,3884603.743775,-0.03839963935872166,0.004749929548344856,2025-11
2025-11-21,3590060.433228125,1180060.3844,2410000.048828125,463.4615478515625,3884603.743775,-0.07582325765372461,-0.03891805767423551,2025-11
2025-11-24,3552612.593872656,1180060.3844,2372552.2094726562,456.2600402832031,3884603.743775,-0.08546332439553274,-0.010430977431150401,2025-11
2025-11-25,3671344.234497656,1180060.3844,2491283.8500976562,479.0930480957031,3884603.743775,-0.05489865204889633,0.03342093670156476,2025-11
2025-11-26,4001465.36486875,1180060.3844,2821404.98046875,542.577880859375,4001465.36486875,0.0,0.08991832671780609,2025-11
2025-11-27,3901639.58361875,1180060.3844,2721579.19921875,523.380615234375,4001465.36486875,-0.0249473060860229,-0.024947306086022913,2025-11
2025-11-28,3852297.98205625,1180060.3844,2672237.59765625,513.891845703125,4001465.36486875,-0.03727818916593141,-0.012646376095235334,2025-11
2025-12-01,3974353.5728765624,1180060.3844,2794293.1884765625,537.3640747070312,4001465.36486875,-0.006775465865634646,0.03168383946123576,2025-12
2025-12-02,3995129.1344,1180060.3844,2815068.75,541.359375,4001465.36486875,-0.0015834775241039308,0.005227406455535988,2025-12
2025-12-03,3900237.0689703124,1180060.3844,2720176.6845703125,523.1109008789062,4001465.36486875,-0.025297806345440613,-0.023751939483662943,2025-12
2025-12-04,3961368.8072515624,1180060.3844,2781308.4228515625,534.8670043945312,4001465.36486875,-0.010020468493672115,0.015673851922388238,2025-12
2025-12-05,3969419.222290625,1180060.3844,2789358.837890625,536.4151611328125,4001465.36486875,-0.008008601763613198,0.002032230633089771,2025-12
2025-12-08,4140556.7955328124,1180060.3844,2960496.4111328125,569.3262329101562,4140556.7955328124,0.0,0.04311400828643874,2025-12
2025-12-09,4327535.5797125,1180060.3844,3147475.1953125,605.28369140625,4327535.5797125,0.0,0.04515788417186206,2025-12
2025-12-10,4379474.007446875,1180060.3844,3199413.623046875,615.2718505859375,4379474.007446875,0.0,0.012001848806942883,2025-12
2025-12-11,4227865.633423437,1180060.3844,3047805.2490234375,586.1163940429688,4379474.007446875,-0.03461794127916778,-0.03461794127916773,2025-12
2025-12-12,4202883.162720312,1180060.3844,3022822.7783203125,581.3120727539062,4379474.007446875,-0.040322386758383934,-0.0059090029980199965,2025-12
2025-12-15,4145023.6412359374,1180060.3844,2964963.2568359375,570.1852416992188,4379474.007446875,-0.053533909737168706,-0.013766626204980037,2025-12
2025-12-16,4045976.7174078124,1180060.3844,2865916.3330078125,551.1377563476562,4379474.007446875,-0.07615007863318343,-0.023895382125876607,2025-12
2025-12-17,4244329.866821875,1180060.3844,3064269.482421875,589.2825927734375,4379474.007446875,-0.030858532416267428,0.04902478765155727,2025-12
2025-12-18,4146789.5592046874,1180060.3844,2966729.1748046875,570.5248413085938,4379474.007446875,-0.053130683695468896,-0.022981321122013787,2025-12
2025-12-19,4149386.3853765624,1180060.3844,2969326.0009765625,571.0242309570312,4379474.007446875,-0.05253772980021587,0.0006262256945521738,2025-12
2025-12-22,4387264.803345312,1180060.3844,3207204.4189453125,616.7700805664062,4387264.803345312,0.0,0.05732857725833651,2025-12
2025-12-23,4405443.538696875,1180060.3844,3225383.154296875,620.2659912109375,4405443.538696875,0.0,0.004143523622668344,2025-12
2025-12-24,4475041.14611875,1180060.3844,3294980.76171875,633.650146484375,4475041.14611875,0.0,0.015798093156917936,2025-12
2025-12-25,4503087.63049375,1180060.3844,3323027.24609375,639.043701171875,4503087.63049375,0.0,0.00626731318422058,2025-12
2025-12-26,4436606.404907812,1180060.3844,3256546.0205078125,626.2588500976562,4503087.63049375,-0.01476347587280864,-0.014763475872808685,2025-12
2025-12-29,4389861.9469,1180060.3844,3209801.5625,617.26953125,4503087.63049375,-0.025144010706568274,-0.010536084056521955,2025-12
2025-12-30,4462575.936157812,1180060.3844,3282515.5517578125,631.2529907226562,4503087.63049375,-0.008996425932642913,0.016564071977061,2025-12
2025-12-31,4348311.141235937,1180060.3844,3168250.7568359375,609.2789916992188,4503087.63049375,-0.03437119193721792,-0.025605120575327378,2025-12
2026-01-05,4418480.037720312,1180060.3844,3238419.6533203125,622.7730102539062,4503087.63049375,-0.018788795536754974,0.016137045902476554,2026-01
2026-01-06,4323640.340454687,1180060.3844,3143579.9560546875,604.5346069335938,4503087.63049375,-0.0398498329954522,-0.021464326296822378,2026-01
2026-01-07,4398171.981079687,1180060.3844,3218111.5966796875,618.8676147460938,4503087.63049375,-0.02329860265289992,0.017238168477529348,2026-01
2026-01-08,4272740.389282812,1180060.3844,3092680.0048828125,594.7461547851562,4503087.63049375,-0.051153177577776925,-0.02851902843646492,2026-01
2026-01-09,4209115.926392187,1180060.3844,3029055.5419921875,582.5106811523438,4503087.63049375,-0.06528225258395191,-0.01489078602814542,2026-01
2026-01-12,4254665.75549375,1180060.3844,3074605.37109375,591.270263671875,4503087.63049375,-0.05516700881363068,0.010821709332345497,2026-01
2026-01-13,4222412.04455625,1180060.3844,3042351.66015625,585.067626953125,4503087.63049375,-0.06232958560185176,-0.007580786080752189,2026-01
2026-01-14,4260015.56018125,1180060.3844,3079955.17578125,592.299072265625,4503087.63049375,-0.05397897848278113,0.00890569542436781,2026-01
2026-01-15,4426322.8844,1180060.3844,3246262.5,624.28125,4503087.63049375,-0.017047135741689527,0.039039135390311674,2026-01
2026-01-16,4384667.977173437,1180060.3844,3204607.5927734375,616.2706909179688,4503087.63049375,-0.026297434790832207,-0.00941072495487616,2026-01
2026-01-19,4324938.753540625,1180060.3844,3144878.369140625,604.7843017578125,4503087.63049375,-0.0395614945946747,-0.013622291116171747,2026-01
2026-01-20,4218464.754517187,1180060.3844,3038404.3701171875,584.3085327148438,4503087.63049375,-0.06320615971343077,-0.02461861429512091,2026-01
2026-01-21,4202363.924439062,1180060.3844,3022303.5400390625,581.2122192382812,4503087.63049375,-0.06678166865291806,-0.003816751120389039,2026-01
2026-01-22,4405443.538696875,1180060.3844,3225383.154296875,620.2659912109375,4503087.63049375,-0.021683808934930413,0.04832508985640027,2026-01
2026-01-23,4218464.754517187,1180060.3844,3038404.3701171875,584.3085327148438,4503087.63049375,-0.06320615971343077,-0.042442669514950904,2026-01
